state,district
Andhra Pradesh,Vizianagaram
Andhra Pradesh,Visakhapatnam
Andhra Pradesh,Y.S.R. Kadapa
Arunachal Pradesh,Namsai
Assam,Goalpara
Assam,Barpeta
Assam,Hailakandi
Assam,Baksa
Assam,Darrang
Assam,Udalguri
Assam,Dhubri
Bihar,Sitamarhi
Bihar,Araria
Bihar,Purnia
Bihar,Katihar
Bihar,Muzaffarpur
Bihar,Begusarai
Bihar,Khagaria
Bihar,Banka
Bihar,Sheikhpura
Bihar,Aurangabad
Bihar,Gaya
Bihar,Nawada
Bihar,Jamui
Chhattisgarh,Korba
Chhattisgarh,Rajnandgaon
Chhattisgarh,Mahasamund
Chhattisgarh,Uttar Bastar Kanker
Chhattisgarh,Narayanpur
Chhattisgarh,Dakshin Bastar Dantewada
Chhattisgarh,Bijapur
Chhattisgarh,Bastar
Chhattisgarh,Kondagaon
Chhattisgarh,Sukma
Gujarat,Dahod
Gujarat,Narmada
Haryana,Nuh
Himachal Pradesh,Chamba
Jammu And Kashmir,Kupwara
Jammu And Kashmir,Baramulla
Jharkhand,Garhwa
Jharkhand,Chatra
Jharkhand,Giridih
Jharkhand,Godda
Jharkhand,Sahebganj
Jharkhand,Pakur
Jharkhand,Bokaro
Jharkhand,Lohardaga
Jharkhand,East Singhbum
Jharkhand,Palamu
Jharkhand,Latehar
Jharkhand,Hazaribagh
Jharkhand,Ramgarh
Jharkhand,Dumka
Jharkhand,Ranchi
Jharkhand,Khunti
Jharkhand,Gumla
Jharkhand,Simdega
Jharkhand,West Singhbhum
Karnataka,Raichur
Karnataka,Yadgir
Kerala,Wayanad
Madhya Pradesh,Chhatarpur
Madhya Pradesh,Damoh
Madhya Pradesh,Barwani
Madhya Pradesh,Rajgarh
Madhya Pradesh,Vidisha
Madhya Pradesh,Guna
Madhya Pradesh,Singrauli
Madhya Pradesh,Khandwa (East Nimar)
Maharashtra,Nandurbar
Maharashtra,Washim
Maharashtra,Gadchiroli
Maharashtra,Dharashiv
Manipur,Chandel
Meghalaya,Ri Bhoi
Mizoram,Mamit
Nagaland,Kiphire
Odisha,Dhenkanal
Odisha,Gajapati
Odisha,Kandhamal
Odisha,Balangir
Odisha,Kalahandi
Odisha,Rayagada
Odisha,Koraput
Odisha,Malkangiri
Odisha,Nabarangpur
Odisha,Nuapada
Punjab,Moga
Punjab,Ferozepur
Rajasthan,Dholpur
Rajasthan,Karauli
Rajasthan,Jaisalmer
Rajasthan,Sirohi
Rajasthan,Baran
Sikkim,Gyalshing
Tamil Nadu,Virudhunagar
Tamil Nadu,Ramanathapuram
Telangana,Kumuram Bheem Asifabad
Telangana,Jayashankar Bhupalapally
Telangana,Bhadradri Kothagudem
Tripura,Dhalai
Uttar Pradesh,Chitrakoot
Uttar Pradesh,Fatehpur
Uttar Pradesh,Bahraich
Uttar Pradesh,Shrawasti
Uttar Pradesh,Balrampur
Uttar Pradesh,Siddharthnagar
Uttar Pradesh,Chandauli
Uttar Pradesh,Sonbhadra
Uttarakhand,Udham Singh Nagar
Uttarakhand,Haridwar
