statename,districtname
ANDHRA PRADESH,Vizianagaram
ANDHRA PRADESH,Visakhapatnam
ANDHRA PRADESH,Y.S.R. Kadapa
ARUNACHAL PRADESH,NAMSAI
ASSAM,GOALPARA
ASSAM,Barpeta
ASSAM,Hailakandi
ASSAM,Baksa
ASSAM,DARRANG
ASSAM,UDALGURI
ASSAM,DHUBRI
BIHAR,SITAMARHI
BIHAR,ARARIA
BIHAR,PURNIA
BIHAR,KATIHAR
BIHAR,MUZAFFARPUR
BIHAR,BEGUSARAI
BIHAR,KHAGARIA
BIHAR,BANKA
BIHAR,SHEIKHPURA
BIHAR,AURANGABAD
BIHAR,GAYA
BIHAR,NAWADA
BIHAR,JAMUI
CHHATTISGARH,KORBA
CHHATTISGARH,Rajnandgaon
CHHATTISGARH,MAHASAMUND
CHHATTISGARH,Uttar Bastar Kanker
CHHATTISGARH,NARAYANPUR
CHHATTISGARH,Dakshin Bastar Dantewada
CHHATTISGARH,BIJAPUR
CHHATTISGARH,BASTAR
CHHATTISGARH,KONDAGAON
CHHATTISGARH,SUKMA
GUJARAT,Dahod
GUJARAT,NARMADA
HARYANA,NUH
HIMACHAL PRADESH,CHAMBA
JAMMU AND KASHMIR,KUPWARA
JAMMU AND KASHMIR,BARAMULLA
JHARKHAND,GARHWA
JHARKHAND,CHATRA
JHARKHAND,GIRIDIH
JHARKHAND,GODDA
JHARKHAND,SAHEBGANJ
JHARKHAND,PAKUR
JHARKHAND,BOKARO
JHARKHAND,LOHARDAGA
JHARKHAND,EAST SINGHBUM
JHARKHAND,PALAMU
JHARKHAND,LATEHAR
JHARKHAND,HAZARIBAGH
JHARKHAND,RAMGARH
JHARKHAND,DUMKA
JHARKHAND,RANCHI
JHARKHAND,KHUNTI
JHARKHAND,GUMLA
JHARKHAND,SIMDEGA
JHARKHAND,WEST SINGHBHUM
KARNATAKA,RAICHUR
KARNATAKA,YADGIR
KERALA,WAYANAD
MADHYA PRADESH,CHHATARPUR
MADHYA PRADESH,DAMOH
MADHYA PRADESH,BARWANI
MADHYA PRADESH,RAJGARH
MADHYA PRADESH,VIDISHA
MADHYA PRADESH,GUNA
MADHYA PRADESH,SINGRAULI
MADHYA PRADESH,Khandwa (East Nimar)
Maharashtra,NANDURBAR
Maharashtra,WASHIM
Maharashtra,GADCHIROLI
Maharashtra,Dharashiv
MANIPUR,CHANDEL
MEGHALAYA,RI BHOI
MIZORAM,MAMIT
NAGALAND,Kiphire
Odisha,DHENKANAL
Odisha,GAJAPATI
Odisha,KANDHAMAL
Odisha,BALANGIR
Odisha,KALAHANDI
Odisha,Rayagada
Odisha,Koraput
Odisha,MALKANGIRI
Odisha,NABARANGPUR
Odisha,NUAPADA
PUNJAB,MOGA
PUNJAB,Ferozepur
RAJASTHAN,DHOLPUR
RAJASTHAN,Karauli
RAJASTHAN,Jaisalmer
RAJASTHAN,Sirohi
RAJASTHAN,Baran
SIKKIM,Gyalshing
TAMIL NADU,VIRUDHUNAGAR
TAMIL NADU,RAMANATHAPURAM
TELANGANA,KUMURAM BHEEM ASIFABAD
TELANGANA,JAYASHANKAR BHUPALAPALLY
TELANGANA,BHADRADRI KOTHAGUDEM
TRIPURA,Dhalai
UTTAR PRADESH,CHITRAKOOT
UTTAR PRADESH,FATEHPUR
UTTAR PRADESH,BAHRAICH
UTTAR PRADESH,Shrawasti
UTTAR PRADESH,BALRAMPUR
UTTAR PRADESH,Siddharthnagar
UTTAR PRADESH,CHANDAULI
UTTAR PRADESH,SONBHADRA
UTTARAKHAND,Udham Singh Nagar
UTTARAKHAND,HARIDWAR
